"Datetime","Item"
"1/10/2016 03:31:37","INTOLERANCE SYMPTOMS"
"1/10/2016 04:20:52","INTOLERANCE SYMPTOMS"
"1/10/2016 04:35:57","gluten free cream filled choc biscuits"
"1/10/2016 04:45:41","banana"
"1/10/2016 06:01:16","blueberries"
"1/10/2016 06:01:31","tim tams"
"1/10/2016 07:35:16","eggs"
"1/10/2016 07:35:25","baby spinach"
"1/10/2016 07:35:31","feta"
"1/10/2016 07:35:39","tasty cheese"
"1/10/2016 07:35:44","gluten free bread with soy"
"1/10/2016 07:51:41","gluten free cream filled choc biscuits"
"1/10/2016 07:54:07","gluten free brown rice chips"
"1/10/2016 08:04:07","black tea"
"1/10/2016 10:35:42","banana"
"1/10/2016 10:35:51","black tea"
"1/10/2016 11:30:37","gluten free cream filled choc biscuits"
"1/10/2016 12:23:53","gluten free brown rice chips"
"1/10/2016 16:43:21","gluten free double choc biscuits"
"1/10/2016 17:07:39","gluten free brown rice chips"
"1/10/2016 17:31:43","black tea"
"1/10/2016 18:51:25","gluten free rice crackers"
"1/10/2016 18:55:32","gluten free cream filled choc biscuits"
"10/10/2016 00:01:04","INTOLERANCE SYMPTOMS"
"10/10/2016 08:07:10","gluten free bread with soy"
"10/10/2016 08:07:24","eggs"
"10/10/2016 08:07:30","swiss cheese"
"10/10/2016 08:19:37","gluten free double choc biscuits"
"10/10/2016 10:45:42","gluten free double choc biscuits"
"10/10/2016 11:33:37","green tea"
"10/10/2016 11:50:43","INTOLERANCE SYMPTOMS"
"10/10/2016 13:41:10","gluten free brown rice chips"
"10/10/2016 13:45:02","green tea"
"10/10/2016 13:48:18","gluten free melting moments"
"10/10/2016 14:24:35","cucumber"
"10/10/2016 14:24:40","green tea"
"10/10/2016 16:41:46","gluten free pasta"
"10/10/2016 16:42:01","tuna"
"10/10/2016 16:42:06","tomato"
"10/10/2016 16:42:17","green beans"
"10/10/2016 16:43:43","red capciscum"
"10/10/2016 16:48:41","basil"
"10/10/2016 16:55:11","chewing gum"
"10/10/2016 19:50:17","gluten free classic choc biscotti"
"10/10/2016 21:50:56","INTOLERANCE SYMPTOMS"
"11/10/2016 00:12:51","gluten free classic choc biscotti"
"11/10/2016 00:49:32","INTOLERANCE SYMPTOMS"
"11/10/2016 08:36:24","eggs"
"11/10/2016 08:36:33","gluten free bread with soy"
"11/10/2016 08:36:43","baby spinach"
"11/10/2016 08:36:52","feta"
"11/10/2016 08:37:07","dark chocolate"
"11/10/2016 10:25:49","gluten free melting moments"
"11/10/2016 10:30:48","black tea"
"11/10/2016 11:45:32","gluten free rice crackers"
"11/10/2016 13:16:48","gluten free bread with soy"
"11/10/2016 13:16:55","cold cuts turkey"
"11/10/2016 13:16:59","tasty cheese"
"11/10/2016 13:17:05","alfalfa sprouts"
"11/10/2016 13:18:42","black tea"
"11/10/2016 13:49:06","gluten free melting moments"
"11/10/2016 16:31:41","gluten free cream filled choc biscuits"
"11/10/2016 19:53:54","cherry tomatoes"
"11/10/2016 20:13:39","gluten free pizza base"
"11/10/2016 20:13:51","tuna"
"11/10/2016 20:14:01","baby spinach"
"11/10/2016 20:14:13","tasty cheese"
"11/10/2016 20:14:22","eggplant"
"11/10/2016 23:47:07","INTOLERANCE SYMPTOMS"
"12/10/2016 09:02:27","gluten free classic choc biscotti"
"12/10/2016 09:09:23","gluten free rice crackers"
"12/10/2016 10:27:48","gluten free cream filled choc biscuits"
"12/10/2016 11:07:46","gluten free pizza base"
"12/10/2016 11:07:55","tuna"
"12/10/2016 11:08:20","eggplant"
"12/10/2016 11:08:27","baby spinach"
"12/10/2016 11:08:44","tasty cheese"
"12/10/2016 11:14:59","chewing gum"
"12/10/2016 12:54:17","black tea"
"12/10/2016 13:18:17","tamari almonds"
"12/10/2016 13:28:17","gluten free melting moments"
"12/10/2016 13:52:08","gluten free pizza base"
"12/10/2016 13:52:16","tuna"
"12/10/2016 13:52:21","eggplant"
"12/10/2016 13:52:27","baby spinach"
"12/10/2016 13:52:33","tasty cheese"
"12/10/2016 13:53:06","cherry tomatoes"
"12/10/2016 14:57:17","gluten free melting moments"
"12/10/2016 17:05:44","gluten free pizza base"
"12/10/2016 17:05:52","tuna"
"12/10/2016 17:06:03","baby spinach"
"12/10/2016 17:06:14","cherry tomatoes"
"12/10/2016 17:06:21","eggplant"
"12/10/2016 17:21:19","chewing gum"
"12/10/2016 17:54:25","black tea"
"12/10/2016 19:21:04","black tea"
"13/10/2016 07:43:07","spelt sourdough"
"13/10/2016 07:43:17","eggs"
"13/10/2016 07:43:26","baby spinach"
"13/10/2016 07:43:34","tasty cheese"
"13/10/2016 07:43:42","feta"
"13/10/2016 07:43:58","parmesan cheese"
"13/10/2016 07:52:46","dark chocolate"
"13/10/2016 09:40:32","green tea"
"13/10/2016 09:51:12","gluten free cream filled choc biscuits"
"13/10/2016 11:35:15","spelt sourdough"
"13/10/2016 11:35:23","crunchy peanut butter"
"13/10/2016 12:04:57","gluten free rice crackers"
"13/10/2016 12:07:18","gluten free cream filled choc biscuits"
"13/10/2016 16:07:14","gluten free cream filled choc biscuits"
"13/10/2016 18:51:19","croquettes"
"13/10/2016 18:53:50","lettuce"
"13/10/2016 19:06:31","sage steak"
"13/10/2016 19:06:41","butter"
"13/10/2016 19:06:54","green beans"
"13/10/2016 19:07:18","cauliflower"
"13/10/2016 19:07:43","broccoli"
"13/10/2016 20:03:59","dark chocolate"
"13/10/2016 22:23:37","INTOLERANCE SYMPTOMS"
"14/10/2016 03:44:43","INTOLERANCE SYMPTOMS"
"14/10/2016 05:04:54","dark chocolate"
"14/10/2016 05:26:10","spelt sourdough"
"14/10/2016 05:26:20","eggs"
"14/10/2016 05:26:24","feta"
"14/10/2016 05:26:29","tasty cheese"
"14/10/2016 05:26:36","baby spinach"
"14/10/2016 05:26:44","parmesan cheese"
"14/10/2016 06:10:22","peppermint tea"
"14/10/2016 09:20:33","gluten free rice crackers"
"14/10/2016 09:25:26","black tea"
"14/10/2016 09:50:15","gluten free rice crackers"
"14/10/2016 11:37:53","gluten free mexican style quinoa and brown rice cup with garlic"
"14/10/2016 11:42:42","gluten free rice crackers"
"14/10/2016 14:18:08","gluten free rice crackers"
"14/10/2016 16:09:01","m&ms"
"14/10/2016 19:41:38","cold cuts chicken"
"14/10/2016 19:41:48","cold cuts turkey"
"14/10/2016 19:41:56","gluten free bread with soy"
"14/10/2016 19:42:06","baby spinach"
"14/10/2016 19:42:16","tasty cheese"
"14/10/2016 19:42:22","margarine"
"14/10/2016 19:42:43","low fat mayonnaise"
"14/10/2016 20:09:31","dark chocolate"
"15/10/2016 05:48:56","eggs"
"15/10/2016 05:49:04","gluten free bread with soy"
"15/10/2016 05:49:19","baby spinach"
"15/10/2016 05:49:35","tasty cheese"
"15/10/2016 05:49:54","parmesan cheese"
"15/10/2016 05:54:34","dark chocolate"
"15/10/2016 13:09:30","beetroot"
"15/10/2016 13:09:39","quinoa"
"15/10/2016 14:23:00","banana"
"15/10/2016 15:55:04","cashew sesame munch"
"15/10/2016 17:45:55","gluten free bread with soy"
"15/10/2016 17:46:03","cold cuts chicken"
"15/10/2016 17:46:09","cold cuts turkey"
"15/10/2016 17:46:15","tasty cheese"
"15/10/2016 17:46:21","baby spinach"
"15/10/2016 17:46:27","low fat mayonnaise"
"15/10/2016 17:46:33","margarine"
"15/10/2016 18:09:31","dark chocolate"
"15/10/2016 19:28:17","gluten free brown rice chips"
"16/10/2016 08:18:03","black tea"
"16/10/2016 08:37:53","cashew sesame munch"
"16/10/2016 12:30:14","banana"
"16/10/2016 12:56:23","pumpkin"
"16/10/2016 12:56:29","potato"
"16/10/2016 19:19:07","cold cuts chicken"
"16/10/2016 19:19:15","gluten free bread with soy"
"16/10/2016 19:19:21","tasty cheese"
"16/10/2016 19:19:27","baby spinach"
"16/10/2016 19:19:38","margarine"
"16/10/2016 19:19:43","low fat mayonnaise"
"17/10/2016 08:24:14","gluten free bread with soy"
"17/10/2016 08:24:31","margarine"
"17/10/2016 09:59:10","gluten free brown rice chips"
"17/10/2016 10:17:54","banana"
"17/10/2016 10:37:29","gluten free brown rice chips"
"17/10/2016 10:40:19","green tea"
"17/10/2016 11:09:45","gluten free mexican style quinoa and brown rice cup with garlic"
"17/10/2016 12:21:59","green tea"
"17/10/2016 12:31:51","INTOLERANCE SYMPTOMS"
"17/10/2016 12:46:21","gluten free brown rice chips"
"17/10/2016 13:57:39","gluten free brown rice chips"
"17/10/2016 16:36:30","black tea"
"17/10/2016 17:10:39","gluten free bread with soy"
"17/10/2016 17:11:01","crunchy peanut butter"
"17/10/2016 21:20:05","gluten free double choc biscuits"
"18/10/2016 06:10:09","beef patties"
"18/10/2016 06:10:25","baby spinach"
"18/10/2016 09:07:37","black tea"
"18/10/2016 09:26:12","gluten free double choc biscuits"
